"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Fairfield County, Connecticut!!Estimate","Fairfield County, Connecticut!!Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","Nassau County, New York!!Estimate","Nassau County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error","Rockland County, New York!!Estimate","Rockland County, New York!!Margin of Error","Westchester County, New York!!Estimate","Westchester County, New York!!Margin of Error"
"Total:","302,186,037","±25,803","905,077","±2,518","900,431","±2,433","756,752","±2,948","635,649","±1,967","790,264","±2,810","530,656","±1,851","1,346,896","±4,216","2,491,991","±5,312","1,315,877","±2,514","1,539,581","±7,300","2,217,952","±3,719","460,222","±1,901","305,920","±1,545","925,962","±2,876"
"    Householder lived in owner-occupied housing units","198,117,886","±455,230","634,896","±12,463","626,075","±12,368","382,204","±9,594","216,154","±9,181","534,586","±11,878","326,796","±9,683","267,397","±12,061","819,791","±18,920","1,085,367","±11,734","317,577","±14,273","1,032,049","±18,455","329,888","±7,448","211,032","±5,950","586,347","±11,490"
"    Householder lived in renter-occupied housing units","104,068,151","±452,958","270,181","±12,411","274,356","±12,393","374,548","±9,927","419,495","±9,079","255,678","±12,067","203,860","±9,652","1,079,499","±11,546","1,672,200","±19,868","230,510","±11,758","1,222,004","±15,398","1,185,903","±18,614","130,334","±7,397","94,888","±5,751","339,615","±11,040"
"    Same house 1 year ago:","259,447,583","±231,270","794,060","±9,674","832,483","±6,600","676,806","±7,291","553,170","±7,376","713,892","±8,045","479,264","±6,325","1,191,181","±10,531","2,264,022","±11,188","1,239,697","±8,596","1,324,262","±14,310","2,019,315","±12,849","434,362","±5,017","281,377","±4,337","837,156","±7,677"
"        Householder lived in owner-occupied housing units","185,474,477","±431,991","600,098","±13,058","602,198","±12,702","367,970","±9,675","205,827","±9,029","512,432","±12,160","313,365","±9,551","253,442","±12,112","785,800","±18,794","1,046,813","±12,555","298,438","±13,532","987,427","±18,528","319,033","±8,182","203,745","±6,039","557,790","±11,663"
"        Householder lived in renter-occupied housing units","73,973,106","±311,344","193,962","±10,165","230,285","±13,655","308,836","±9,558","347,343","±9,619","201,460","±11,696","165,899","±8,516","937,739","±15,536","1,478,222","±19,829","192,884","±10,801","1,025,824","±15,860","1,031,888","±19,756","115,329","±7,528","77,632","±5,602","279,366","±12,903"
"    Moved within same county:","26,608,416","±189,063","71,032","±6,774","36,270","±5,331","54,723","±6,208","49,116","±5,625","39,740","±5,509","28,801","±4,526","101,857","±9,751","144,929","±8,975","39,355","±5,493","103,597","±9,866","117,956","±10,271","16,459","±4,957","16,519","±3,362","53,208","±5,969"
"        Householder lived in owner-occupied housing units","7,347,807","±74,049","20,250","±3,594","11,504","±2,374","6,337","±1,926","5,596","±1,787","10,903","±2,191","5,328","±1,675","9,260","±2,898","22,637","±2,700","16,238","±3,029","11,590","±2,532","24,811","±4,055","6,457","±3,057","4,334","±1,622","15,183","±2,758"
"        Householder lived in renter-occupied housing units","19,260,609","±172,815","50,782","±5,652","24,766","±4,740","48,386","±5,716","43,520","±5,448","28,837","±4,721","23,473","±4,241","92,597","±9,173","122,292","±8,420","23,117","±4,661","92,007","±9,866","93,145","±9,798","10,002","±3,321","12,185","±3,136","38,025","±5,394"
"    Moved from different county within same state:","8,112,910","±82,581","6,679","±2,657","12,091","±2,946","10,298","±1,966","9,424","±2,252","18,492","±3,133","10,589","±2,714","26,229","±4,195","34,837","±3,522","25,199","±4,755","33,393","±5,982","37,870","±4,647","4,787","±1,451","3,345","±1,450","15,177","±2,872"
