"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Fairfield County, Connecticut!!Estimate","Fairfield County, Connecticut!!Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","Nassau County, New York!!Estimate","Nassau County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error","Rockland County, New York!!Estimate","Rockland County, New York!!Margin of Error","Westchester County, New York!!Estimate","Westchester County, New York!!Margin of Error"
"Total:","304,406,518","±28,925","912,151","±2,335","905,009","±2,789","758,391","±2,717","643,606","±1,942","793,503","±2,786","533,052","±1,788","1,354,380","±4,055","2,514,429","±5,242","1,319,704","±2,673","1,547,609","±4,391","2,244,364","±3,928","460,644","±1,741","309,991","±1,560","930,366","±3,039"
"    Householder lived in owner-occupied housing units","198,279,636","±502,524","638,985","±12,731","621,147","±12,499","377,622","±10,362","199,265","±11,085","530,528","±9,847","321,890","±9,436","267,850","±14,226","822,509","±17,303","1,078,833","±13,576","339,571","±14,442","1,057,159","±20,203","327,819","±8,759","215,920","±6,999","587,320","±12,652"
"    Householder lived in renter-occupied housing units","106,126,882","±499,521","273,166","±12,529","283,862","±11,865","380,769","±10,663","444,341","±11,015","262,975","±9,642","211,162","±9,673","1,086,530","±15,078","1,691,920","±17,332","240,871","±13,630","1,208,038","±14,731","1,187,205","±19,897","132,825","±8,905","94,071","±6,995","343,046","±12,533"
"    Same house 1 year ago:","261,279,127","±212,485","802,586","±9,040","825,435","±8,178","679,097","±7,195","560,304","±7,488","717,721","±7,190","476,591","±6,524","1,213,324","±12,229","2,293,849","±11,609","1,240,197","±7,349","1,325,665","±15,350","2,042,604","±12,515","433,501","±4,524","285,459","±4,937","836,872","±9,218"
"        Householder lived in owner-occupied housing units","184,411,482","±478,183","596,264","±12,264","588,605","±12,767","360,392","±10,178","187,815","±10,404","507,488","±11,012","303,115","±8,712","257,435","±14,136","783,497","±17,377","1,037,733","±13,169","309,710","±13,952","1,000,987","±18,984","317,832","±9,174","206,457","±6,492","557,939","±12,681"
"        Householder lived in renter-occupied housing units","76,867,645","±366,757","206,322","±12,285","236,830","±12,174","318,705","±10,147","372,489","±11,917","210,233","±10,523","173,476","±8,697","955,889","±16,952","1,510,352","±16,429","202,464","±12,958","1,015,955","±17,362","1,041,617","±19,947","115,669","±8,269","79,002","±6,918","278,933","±12,797"
"    Moved within same county:","26,431,010","±161,820","66,674","±7,066","39,757","±5,769","47,454","±5,414","45,423","±6,047","39,343","±4,909","33,269","±5,656","86,581","±8,685","134,135","±10,046","44,441","±4,876","108,729","±8,091","119,304","±10,865","17,052","±3,689","15,928","±4,310","58,869","±7,727"
"        Householder lived in owner-occupied housing units","8,050,306","±65,500","25,686","±4,586","16,861","±3,672","8,659","±2,452","5,419","±1,874","13,106","±3,136","7,620","±2,142","6,638","±1,942","25,198","±3,636","18,584","±2,827","14,994","±3,168","32,288","±5,004","4,742","±1,565","3,996","±1,275","15,150","±4,164"
"        Householder lived in renter-occupied housing units","18,380,704","±154,985","40,988","±5,265","22,896","±4,293","38,795","±5,395","40,004","±5,810","26,237","±4,079","25,649","±5,363","79,943","±8,332","108,937","±9,819","25,857","±4,425","93,735","±7,851","87,016","±10,079","12,310","±3,219","11,932","±4,110","43,719","±6,626"
"    Moved from different county within same state:","8,457,760","±75,629","5,399","±1,645","14,974","±3,266","15,045","±3,510","11,248","±2,272","16,124","±3,397","14,723","±3,565","29,433","±6,403","35,658","±3,660","23,531","±3,694","35,638","±8,314","43,938","±6,037","6,639","±2,700","4,365","±1,394","19,095","±3,197"
"        Householder lived in owner-occupied housing units","3,043,441","±40,754","1,885","±796","6,148","±2,100","3,511","±1,322","1,148","±775","4,337","±1,251","7,528","±2,693","1,945","±744","6,964","±1,646","15,341","±3,055","4,553","±1,331","14,327","±3,288","3,188","±1,398","2,371","±1,049","8,621","±2,327"
