"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Fairfield County, Connecticut!!Estimate","Fairfield County, Connecticut!!Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","Nassau County, New York!!Estimate","Nassau County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error","Rockland County, New York!!Estimate","Rockland County, New York!!Margin of Error","Westchester County, New York!!Estimate","Westchester County, New York!!Margin of Error"
"Total:","307,034,258","±26,733","917,295","±2,116","913,743","±2,468","763,544","±2,848","652,083","±1,885","796,639","±3,284","540,778","±1,784","1,376,969","±3,813","2,541,776","±5,599","1,324,408","±2,772","1,555,073","±6,019","2,269,443","±4,214","461,582","±2,114","313,346","±1,560","936,965","±3,334"
"    Householder lived in owner-occupied housing units","198,745,178","±498,729","639,951","±11,783","614,200","±10,900","375,702","±10,917","201,372","±8,884","520,829","±12,394","337,508","±9,541","270,395","±13,555","811,859","±21,899","1,097,028","±13,826","342,205","±15,187","1,043,038","±20,764","331,928","±10,737","214,134","±7,758","587,871","±9,496"
"    Householder lived in renter-occupied housing units","108,289,080","±497,483","277,344","±11,918","299,543","±10,871","387,842","±10,925","450,711","±9,147","275,810","±12,950","203,270","±9,157","1,106,574","±13,793","1,729,917","±21,606","227,380","±13,741","1,212,868","±16,156","1,226,405","±20,832","129,654","±10,496","99,212","±7,800","349,094","±9,733"
"    Same house 1 year ago:","263,945,233","±210,444","811,919","±6,544","837,624","±6,940","674,906","±7,873","565,217","±7,374","726,543","±6,810","492,022","±6,012","1,261,551","±9,842","2,309,422","±10,470","1,243,027","±8,150","1,322,806","±14,607","2,072,712","±11,417","442,143","±4,087","289,455","±3,924","838,561","±8,461"
"        Householder lived in owner-occupied housing units","184,619,735","±464,959","602,347","±11,182","586,398","±11,775","353,878","±11,437","188,945","±8,861","497,249","±12,261","321,104","±9,217","256,147","±13,252","771,557","±21,187","1,048,239","±14,647","315,529","±14,573","993,970","±20,697","322,983","±10,678","204,875","±7,672","546,862","±10,008"
"        Householder lived in renter-occupied housing units","79,325,498","±377,912","209,572","±11,660","251,226","±10,945","321,028","±11,554","376,272","±10,950","229,294","±11,871","170,918","±8,590","1,005,404","±16,581","1,537,865","±22,450","194,788","±12,623","1,007,277","±18,553","1,078,742","±21,182","119,160","±9,638","84,580","±7,466","291,699","±11,418"
"    Moved within same county:","25,977,109","±156,161","62,929","±5,808","42,504","±5,927","59,334","±6,405","49,337","±5,598","35,165","±5,376","27,100","±4,925","75,110","±8,854","143,782","±9,001","49,276","±6,646","113,790","±10,386","116,302","±8,429","12,746","±2,644","16,942","±3,267","58,293","±7,024"
"        Householder lived in owner-occupied housing units","8,078,855","±72,437","21,768","±3,502","15,560","±4,177","11,443","±2,555","6,394","±2,035","13,045","±2,908","7,852","±2,320","8,654","±2,989","27,402","±3,346","26,372","±4,639","13,361","±3,356","32,585","±4,206","4,659","±1,439","5,731","±2,112","22,126","±4,446"
"        Householder lived in renter-occupied housing units","17,898,254","±153,415","41,161","±4,965","26,944","±4,720","47,891","±6,201","42,943","±4,941","22,120","±4,293","19,248","±4,347","66,456","±8,910","116,380","±8,266","22,904","±4,714","100,429","±9,691","83,717","±7,152","8,087","±2,160","11,211","±2,859","36,167","±5,774"
"    Moved from different county within same state:","8,626,391","±83,511","5,891","±1,832","12,937","±2,506","12,528","±2,207","12,142","±2,249","16,244","±2,816","10,944","±2,398","21,510","±3,830","36,329","±4,012","18,828","±3,349","34,409","±5,140","37,853","±4,116","3,075","±1,077","3,026","±1,430","23,187","±4,414"
