"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Fairfield County, Connecticut!!Estimate","Fairfield County, Connecticut!!Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","Nassau County, New York!!Estimate","Nassau County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error","Rockland County, New York!!Estimate","Rockland County, New York!!Margin of Error","Westchester County, New York!!Estimate","Westchester County, New York!!Margin of Error"
"Total:","316,583,594","±29,983","914,911","±2,821","913,319","±2,400","767,535","±3,050","655,109","±2,200","794,092","±2,746","543,010","±2,016","1,346,477","±5,309","2,480,168","±5,426","1,322,053","±3,523","1,546,757","±6,252","2,201,539","±4,078","465,306","±2,145","315,220","±1,424","933,627","±2,948"
"    Householder lived in owner-occupied housing units","210,745,322","±561,240","631,324","±13,185","629,544","±13,876","384,677","±10,010","219,975","±11,654","515,039","±12,540","332,579","±10,282","284,047","±15,148","831,032","±21,982","1,096,233","±15,043","361,556","±17,738","1,030,546","±24,313","328,472","±8,753","207,315","±8,036","609,645","±13,958"
"    Householder lived in renter-occupied housing units","105,838,272","±559,574","283,587","±13,235","283,775","±14,085","382,858","±10,552","435,134","±11,662","279,053","±12,819","210,431","±9,962","1,062,430","±15,138","1,649,136","±21,206","225,820","±14,377","1,185,201","±19,016","1,170,993","±23,712","136,834","±8,875","107,905","±8,212","323,982","±13,869"
"    Same house 1 year ago:","275,925,506","±194,716","809,638","±8,770","833,022","±7,827","688,977","±8,632","584,984","±7,571","706,062","±10,938","490,297","±7,669","1,248,125","±10,606","2,257,602","±13,803","1,234,177","±7,580","1,316,771","±13,399","2,024,582","±14,304","440,073","±6,263","288,449","±4,338","848,469","±8,500"
"        Householder lived in owner-occupied housing units","194,575,114","±502,874","591,505","±11,571","594,615","±13,518","356,482","±9,711","205,658","±11,489","478,757","±13,297","307,016","±10,596","270,123","±15,041","795,139","±21,866","1,037,279","±15,814","335,621","±16,995","983,525","±23,678","314,876","±9,556","197,876","±8,295","571,878","±14,162"
"        Householder lived in renter-occupied housing units","81,350,392","±432,196","218,133","±12,344","238,407","±14,108","332,495","±11,341","379,326","±13,284","227,305","±14,246","183,281","±10,369","978,002","±16,130","1,462,463","±23,607","196,898","±14,146","981,150","±18,931","1,041,057","±26,527","125,197","±9,544","90,573","±7,954","276,591","±15,021"
"    Moved within same county:","23,317,774","±168,536","64,183","±7,541","41,053","±5,725","41,629","±5,881","36,809","±5,231","50,027","±9,019","21,753","±4,350","60,137","±7,425","136,038","±9,916","49,123","±5,270","119,679","±7,519","106,870","±11,480","14,225","±4,852","18,480","±4,015","43,379","±6,853"
"        Householder lived in owner-occupied housing units","8,898,658","±90,265","25,244","±4,927","17,692","±3,421","12,812","±2,895","9,263","±2,006","22,392","±4,652","8,787","±2,270","7,675","±2,314","25,682","±3,581","32,110","±3,610","14,977","±4,361","31,949","±4,600","6,023","±2,242","7,261","±2,542","17,698","±3,224"
"        Householder lived in renter-occupied housing units","14,419,116","±149,069","38,939","±5,932","23,361","±4,930","28,817","±5,424","27,546","±4,981","27,635","±7,623","12,966","±4,043","52,462","±7,298","110,356","±9,642","17,013","±4,488","104,702","±7,467","74,921","±10,215","8,202","±4,188","11,219","±3,375","25,681","±5,538"
"    Moved from different county within same state:","8,916,819","±74,835","6,493","±1,945","14,183","±4,556","14,957","±2,694","10,661","±2,332","18,152","±3,839","18,755","±4,220","22,347","±4,334","42,146","±4,707","28,671","±4,985","30,103","±4,805","35,611","±5,125","7,571","±2,579","6,954","±2,223","25,162","±3,724"
"        Householder lived in owner-occupied housing units","3,967,206","±56,259","2,596","±1,010","6,621","±3,920","6,267","±1,847","3,262","±1,889","5,129","±1,445","11,316","±3,493","3,704","±1,360","6,144","±1,719","20,560","±4,237","2,572","±1,038","8,960","±2,047","5,922","±2,406","1,210","±532","12,395","±2,812"
"        Householder lived in renter-occupied housing units","4,949,613","±61,168","3,897","±1,664","7,562","±2,129","8,690","±2,058","7,399","±1,760","13,023","±3,408","7,439","±2,660","18,643","±3,929","36,002","±4,497","8,111","±2,763","27,531","±4,694","26,651","±4,645","1,649","±874","5,744","±2,131","12,767","±3,167"
"    Moved from different state:","6,644,684","±62,864","25,196","±4,343","19,144","±3,833","13,201","±2,984","15,849","±3,407","11,392","±3,612","7,487","±2,315","5,251","±1,350","27,025","±3,601","5,201","±1,410","52,916","±6,414","12,665","±2,736","777","±372","940","±521","9,934","±2,272"
"        Householder lived in owner-occupied housing units","2,696,514","±40,565","8,989","±2,427","9,266","±2,506","7,353","±2,149","968","±451","6,081","±2,954","4,188","±1,669","1,515","±996","1,818","±614","3,010","±1,019","4,663","±1,601","2,238","±793","378","±246","706","±490","4,774","±1,561"
"        Householder lived in renter-occupied housing units","3,948,170","±56,869","16,207","±3,686","9,878","±3,063","5,848","±2,108","14,881","±3,317","5,311","±2,085","3,299","±1,589","3,736","±1,166","25,207","±3,566","2,191","±967","48,253","±5,948","10,427","±2,534","399","±321","234","±240","5,160","±1,834"
