"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Fairfield County, Connecticut!!Estimate","Fairfield County, Connecticut!!Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","Nassau County, New York!!Estimate","Nassau County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error","Rockland County, New York!!Estimate","Rockland County, New York!!Margin of Error","Westchester County, New York!!Estimate","Westchester County, New York!!Margin of Error"
"Total:","311,284,390","±31,010","914,715","±2,441","920,934","±2,125","766,601","±2,682","662,269","±3,701","798,037","±3,317","541,050","±2,615","1,393,792","±4,351","2,551,004","±5,334","1,329,300","±3,841","1,566,302","±4,924","2,279,267","±3,860","465,037","±1,576","314,947","±1,591","937,629","±3,367"
"    Householder lived in owner-occupied housing units","202,069,247","±528,395","618,500","±15,247","625,749","±12,191","368,523","±12,509","213,647","±10,842","520,889","±10,734","329,687","±10,814","283,620","±15,109","845,662","±18,609","1,088,056","±15,472","344,647","±12,925","1,073,543","±23,004","342,930","±8,069","206,618","±8,811","585,351","±15,199"
"    Householder lived in renter-occupied housing units","109,215,143","±530,229","296,215","±15,001","295,185","±12,157","398,078","±12,783","448,622","±11,791","277,148","±10,449","211,363","±10,614","1,110,172","±15,799","1,705,342","±19,113","241,244","±15,377","1,221,655","±14,446","1,205,724","±23,390","122,107","±8,158","108,329","±8,670","352,278","±14,229"
"    Same house 1 year ago:","268,374,998","±202,849","805,420","±9,438","837,709","±8,332","691,083","±7,525","569,175","±7,720","711,753","±8,244","493,772","±6,564","1,283,704","±10,026","2,320,715","±11,866","1,249,678","±7,084","1,354,477","±12,425","2,100,244","±11,670","437,897","±4,567","286,032","±5,653","845,616","±8,769"
"        Householder lived in owner-occupied housing units","186,361,899","±492,683","580,041","±14,950","588,827","±12,238","348,000","±11,928","197,707","±10,684","494,077","±10,946","314,114","±9,948","267,096","±14,474","800,419","±18,362","1,038,733","±15,296","320,172","±13,121","1,019,522","±22,866","328,851","±8,014","195,226","±8,544","547,481","±14,114"
"        Householder lived in renter-occupied housing units","82,013,099","±385,289","225,379","±12,706","248,882","±12,141","343,083","±14,931","371,468","±11,345","217,676","±12,637","179,658","±9,874","1,016,608","±15,967","1,520,296","±20,881","210,945","±14,905","1,034,305","±17,883","1,080,722","±23,012","109,046","±7,760","90,806","±8,957","298,135","±14,953"
"    Moved within same county:","25,303,657","±164,086","73,170","±7,311","46,532","±5,890","46,935","±6,185","50,444","±6,117","41,910","±6,661","25,783","±4,298","70,159","±8,563","141,953","±9,517","36,182","±4,272","109,409","±9,331","94,186","±8,553","15,088","±3,652","15,947","±4,374","51,114","±8,258"
"        Householder lived in owner-occupied housing units","8,890,974","±87,040","25,292","±3,870","20,381","±3,938","9,391","±2,154","8,856","±2,272","13,841","±2,701","6,246","±1,687","10,069","±4,525","30,868","±4,401","19,509","±2,832","14,470","±4,050","32,040","±4,527","6,029","±1,827","5,096","±1,818","19,608","±3,908"
"        Householder lived in renter-occupied housing units","16,412,683","±156,294","47,878","±6,890","26,151","±4,333","37,544","±5,376","41,588","±5,570","28,069","±5,942","19,537","±4,001","60,090","±7,679","111,085","±8,381","16,673","±3,382","94,939","±8,711","62,146","±7,082","9,059","±2,992","10,851","±3,864","31,506","±7,223"
"    Moved from different county within same state:","8,734,918","±79,745","6,034","±1,930","12,533","±2,551","11,594","±2,875","10,582","±2,270","21,712","±4,280","11,323","±2,565","17,032","±2,891","42,184","±4,338","30,661","±5,869","29,364","±4,127","38,340","±3,797","8,573","±2,696","6,621","±2,468","21,026","±2,956"
