"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Fairfield County, Connecticut!!Estimate","Fairfield County, Connecticut!!Margin of Error","Bergen County, New Jersey!!Estimate","Bergen County, New Jersey!!Margin of Error","Essex County, New Jersey!!Estimate","Essex County, New Jersey!!Margin of Error","Hudson County, New Jersey!!Estimate","Hudson County, New Jersey!!Margin of Error","Middlesex County, New Jersey!!Estimate","Middlesex County, New Jersey!!Margin of Error","Union County, New Jersey!!Estimate","Union County, New Jersey!!Margin of Error","Bronx County, New York!!Estimate","Bronx County, New York!!Margin of Error","Kings County, New York!!Estimate","Kings County, New York!!Margin of Error","Nassau County, New York!!Estimate","Nassau County, New York!!Margin of Error","New York County, New York!!Estimate","New York County, New York!!Margin of Error","Queens County, New York!!Estimate","Queens County, New York!!Margin of Error","Richmond County, New York!!Estimate","Richmond County, New York!!Margin of Error","Rockland County, New York!!Estimate","Rockland County, New York!!Margin of Error","Westchester County, New York!!Estimate","Westchester County, New York!!Margin of Error"
"Total:","320,706,607","±33,965","931,949","±2,509","933,645","±2,313","823,535","±3,665","686,675","±2,911","829,171","±3,158","558,186","±2,384","1,360,869","±5,486","2,566,434","±5,434","1,358,314","±3,117","1,501,605","±5,104","2,277,094","±5,045","481,842","±1,761","327,869","±1,627","962,181","±3,254"
"    Householder lived in owner-occupied housing units","219,145,649","±440,934","656,246","±13,427","670,231","±14,139","418,419","±13,865","235,560","±11,447","557,362","±12,328","338,839","±8,664","284,094","±16,941","862,664","±23,075","1,169,520","±13,457","378,421","±17,607","1,113,663","±21,853","356,049","±10,125","226,963","±9,461","654,960","±12,587"
"    Householder lived in renter-occupied housing units","101,560,958","±438,139","275,703","±12,960","263,414","±13,875","405,116","±13,927","451,115","±11,690","271,809","±11,853","219,347","±8,966","1,076,775","±17,369","1,703,770","±24,474","188,794","±12,869","1,123,184","±17,186","1,163,431","±21,851","125,793","±10,195","100,906","±8,994","307,221","±12,354"
"    Same house 1 year ago:","282,264,193","±189,241","826,724","±9,631","847,747","±8,403","734,812","±9,529","594,888","±7,220","738,901","±7,710","503,209","±6,629","1,285,194","±10,591","2,308,391","±15,195","1,270,336","±7,592","1,250,996","±17,085","2,110,109","±12,000","452,895","±5,426","300,740","±6,080","874,842","±8,737"
"        Householder lived in owner-occupied housing units","201,797,834","±414,717","596,806","±12,629","625,650","±13,596","383,517","±14,493","215,771","±11,072","518,209","±11,174","310,185","±9,634","267,518","±16,017","818,254","±21,189","1,105,398","±14,036","349,942","±17,585","1,059,854","±22,000","341,747","±10,787","212,435","±9,299","610,977","±12,803"
"        Householder lived in renter-occupied housing units","80,466,359","±345,405","229,918","±13,732","222,097","±14,350","351,295","±14,972","379,117","±12,043","220,692","±13,058","193,024","±8,580","1,017,676","±17,894","1,490,137","±27,954","164,938","±12,150","901,054","±17,468","1,050,255","±20,998","111,148","±9,740","88,305","±8,237","263,865","±13,181"
"    Moved within same county:","20,843,891","±131,581","59,336","±7,659","47,421","±6,231","46,997","±7,129","43,559","±5,363","44,871","±5,959","26,535","±5,284","48,071","±6,457","167,801","±12,839","39,509","±4,643","133,578","±12,568","104,560","±9,650","16,313","±4,589","14,798","±4,390","41,429","±5,251"
"        Householder lived in owner-occupied housing units","9,037,612","±92,388","32,082","±5,539","26,284","±4,235","14,756","±3,337","10,617","±2,754","19,829","±4,307","13,474","±4,596","7,327","±2,119","31,872","±5,507","26,346","±3,920","15,289","±3,909","33,631","±5,455","6,952","±2,197","6,947","±3,110","20,544","±3,259"
"        Householder lived in renter-occupied housing units","11,806,279","±109,752","27,254","±5,262","21,137","±4,149","32,241","±6,096","32,942","±4,954","25,042","±4,375","13,061","±2,632","40,744","±6,610","135,929","±11,331","13,163","±3,036","118,289","±12,020","70,929","±7,233","9,361","±4,171","7,851","±2,889","20,885","±4,695"
"    Moved from different county within same state:","9,186,981","±89,590","6,165","±1,958","17,249","±4,000","20,861","±4,855","14,328","±3,025","22,546","±5,208","15,049","±4,221","18,837","±4,337","49,284","±5,657","39,311","±5,363","41,114","±5,660","36,895","±5,199","9,499","±2,796","8,716","±2,980","32,006","±5,837"
"        Householder lived in owner-occupied housing units","4,602,154","±64,550","3,456","±1,317","6,804","±2,431","13,247","±4,319","1,899","±790","8,463","±3,134","6,267","±2,521","7,249","±2,679","7,326","±1,956","31,775","±4,451","4,421","±1,574","11,188","±2,880","5,783","±2,314","5,037","±2,145","15,715","±3,174"
"        Householder lived in renter-occupied housing units","4,584,827","±70,823","2,709","±1,233","10,445","±3,242","7,614","±2,232","12,429","±2,897","14,083","±4,266","8,782","±3,346","11,588","±3,243","41,958","±5,199","7,536","±3,095","36,693","±5,668","25,707","±3,903","3,716","±2,118","3,679","±1,970","16,291","±4,873"
"    Moved from different state:","7,062,571","±74,723","36,162","±5,352","16,159","±3,459","14,300","±2,738","25,940","±3,999","16,111","±3,221","9,708","±2,525","2,723","±1,058","31,557","±4,240","7,215","±1,795","54,400","±7,400","13,147","±2,200","2,518","±1,098","2,132","±1,187","12,063","±2,477"
"        Householder lived in owner-occupied housing units","3,193,756","±50,934","22,850","±4,062","8,475","±2,582","5,282","±1,802","5,574","±1,803","7,931","±2,211","7,430","±2,228","760","±784","3,787","±1,290","4,741","±1,308","6,525","±2,566","5,006","±1,354","1,281","±895","1,135","±701","6,779","±1,926"
"        Householder lived in renter-occupied housing units","3,868,815","±59,996","13,312","±3,719","7,684","±2,492","9,018","±2,134","20,366","±3,641","8,180","±2,511","2,278","±946","1,963","±1,044","27,770","±3,998","2,474","±1,376","47,875","±6,359","8,141","±2,046","1,237","±513","997","±800","5,284","±1,853"
"    Moved from abroad:","1,348,971","±35,589","3,562","±1,576","5,069","±1,998","6,565","±2,078","7,960","±2,685","6,742","±1,976","3,685","±1,436","6,044","±1,802","9,401","±1,986","1,943","±732","21,517","±4,659","12,383","±2,444","617","±341","1,483","±1,225","1,841","±760"
"        Householder lived in owner-occupied housing units","514,293","±18,970","1,052","±770","3,018","±1,350","1,617","±975","1,699","±1,574","2,930","±899","1,483","±992","1,240","±989","1,425","±582","1,260","±500","2,244","±1,097","3,984","±1,250","286","±234","1,409","±1,236","945","±498"
"        Householder lived in renter-occupied housing units","834,678","±27,175","2,510","±1,367","2,051","±1,315","4,948","±1,762","6,261","±2,339","3,812","±1,640","2,202","±921","4,804","±1,508","7,976","±1,884","683","±623","19,273","±4,722","8,399","±2,263","331","±271","74","±132","896","±574"
